size,RTT,,size,RTT
43588,11.48938024,,43588,7.033130734
43588,7.372822872,,110768,3.437488013
43588,8.017279381,,261705,1.838121563
43588,6.315153699,,580719,1.207733238
43588,6.968647935,,1208479,1.181553341
43588,6.491749786,,2302679,1.06631466
110768,3.049778282,,,
110768,4.036820263,,,
110768,3.19317284,,,
110768,3.603408096,,,
110768,3.304260586,,,
261705,1.850628294,,,
261705,1.759721898,,,
261705,1.728372648,,,
261705,2.017772757,,,
261705,1.83411222,,,
580719,1.191643762,,,
580719,1.143961725,,,
580719,1.24143043,,,
580719,1.200976506,,,
580719,1.260653768,,,
1208479,1.427477644,,,
1208479,1.26971177,,,
1208479,1.095669639,,,
1208479,1.017002409,,,
1208479,1.097905242,,,
1208479,1.134533482,,,
2302679,1.093716874,,,
2302679,1.047792409,,,
2302679,1.062306154,,,
2302679,1.049076732,,,
2302679,1.078681132,,,
