,,,size,totalTime
43588,494.0433502,,43588,302.4246216
43588,317.0313835,,110768,374.6861935
43588,344.7430134,,261705,470.5591202
43588,271.551609,,580719,685.9924793
43588,299.6518612,,1208479,1395.414495
43588,279.1452408,,2302679,2398.14167
110768,332.4258327,,,
110768,440.0134087,,,
110768,348.0558395,,,
110768,392.7714825,,,
110768,360.1644039,,,
261705,473.7608433,,,
261705,450.4888058,,,
261705,442.463398,,,
261705,516.5498257,,,
261705,469.5327282,,,
580719,676.8536568,,,
580719,649.7702599,,,
580719,705.1324844,,,
580719,682.1546555,,,
580719,716.0513401,,,
1208479,1685.851097,,,
1208479,1499.5296,,,
1208479,1293.985844,,,
1208479,1201.079845,,,
1208479,1296.626091,,,
1208479,1339.884043,,,
2302679,2459.769249,,,
2302679,2356.485128,,,
2302679,2389.126539,,,
2302679,2359.373569,,,
2302679,2425.953865,,,
