,,,size,throughput
43588,756.5792825,,43588,718.3719917
43588,677.9201625,,110768,1844.602804
43588,748.3310305,,261705,4392.47694
43588,720.1826755,,580719,10152.21818
43588,688.8468076,,1208479,20533.93583
110768,1858.326118,,2302679,39412.59952
110768,1830.674106,,,
110768,1846.182143,,,
110768,1805.275716,,,
110768,1882.555936,,,
261705,4957.596803,,,
261705,4524.661196,,,
261705,4515.119538,,,
261705,3870.952913,,,
261705,4094.054251,,,
261705,4430.455369,,,
261705,4565.785502,,,
580719,11438.20929,,,
580719,9824.657116,,,
580719,10310.74814,,,
580719,9606.468097,,,
580719,9581.008228,,,
1208479,20087.30717,,,
1208479,20549.82099,,,
1208479,20577.79381,,,
1208479,20711.66568,,,
1208479,20743.09148,,,
2302679,38809.59052,,,
2302679,40738.65788,,,
2302679,38441.48203,,,
2302679,38658.79929,,,
2302679,40414.46788,,,
