,,,size,throughput
43588,597.3994884,,43588,672.0323863
43588,602.6020838,,110768,1900.125895
43588,701.7952753,,261705,4432.659552
43588,752.5507462,,580719,9822.743396
43588,617.7743706,,1208479,20558.68449
43588,685.4394556,,2302679,39019.52506
110768,1972.817038,,,
110768,1935.001206,,,
110768,1953.168502,,,
110768,1836.067066,,,
110768,1803.575661,,,
261705,4250.432155,,,
261705,4621.22979,,,
261705,4368.972482,,,
261705,4650.168368,,,
261705,4272.494966,,,
580719,9804.303184,,,
580719,10077.22793,,,
580719,9919.410356,,,
580719,9578.031917,,,
580719,9734.743593,,,
1208479,20970.97297,,,
1208479,20888.1437,,,
1208479,20414.36226,,,
1208479,20216.89082,,,
1208479,20303.0527,,,
1208479,21131.05384,,,
2302679,38871.61781,,,
2302679,39278.70448,,,
2302679,39517.48045,,,
2302679,38880.45988,,,
2302679,38549.36266,,,
